datetime,Close,Pos,Account,AccountCum,Openorder,Closeorder
2013/7/30,1380.0,0.0,0.0,1822.0,0,0
2013/7/31,1380.0,0.0,0.0,1822.0,0,0
2013/8/1,1380.0,0.0,0.0,1822.0,0,0
2013/8/2,1380.0,0.0,0.0,1822.0,0,0
2013/8/5,1380.0,0.0,0.0,1822.0,0,0
2013/8/6,1380.0,0.0,0.0,1822.0,0,0
2013/8/7,1380.0,0.0,0.0,1822.0,0,0
2013/8/8,1380.0,0.0,0.0,1822.0,0,0
2013/8/9,1380.0,0.0,0.0,1822.0,0,0
2013/8/12,1380.0,0.0,0.0,1822.0,0,0
2013/8/13,1380.0,0.0,0.0,1822.0,0,0
2013/8/14,1380.0,0.0,0.0,1822.0,0,0
2013/8/15,1457.0,-1.0,3.0,1825.0,"{'Vol': 1, 'Openpos': 1460.0, 'Type': -1, 'Time': '2013/8/15'}","{'Vol': 1, 'Closepos': 1457.0, 'Type': 1, 'Time': '2013/8/15'}"
2013/8/16,1460.0,0.0,0.0,1825.0,0,0
2013/8/19,1476.0,0.0,0.0,1825.0,0,0
2013/8/20,1476.0,0.0,0.0,1825.0,0,0
2013/8/21,1480.0,0.0,0.0,1825.0,0,0
2013/8/22,1475.0,0.0,0.0,1825.0,0,0
2013/8/23,1492.0,0.0,0.0,1825.0,0,0
2013/8/26,1502.0,-1.0,3.0,1828.0,"{'Vol': 1, 'Openpos': 1505.0, 'Type': -1, 'Time': '2013/8/26'}","{'Vol': 1, 'Closepos': 1502.0, 'Type': 1, 'Time': '2013/8/26'}"
2013/8/27,1501.0,0.0,0.0,1828.0,0,0
2013/8/28,1443.0,0.0,0.0,1828.0,0,0
2013/8/29,1449.0,0.0,0.0,1828.0,0,0
2013/8/30,1418.0,0.0,0.0,1828.0,0,0
2013/9/2,1470.0,0.0,0.0,1828.0,0,0
2013/9/3,1477.0,0.0,0.0,1828.0,0,0
2013/9/4,1470.0,1.0,21.0,1849.0,"{'Vol': 1, 'Openpos': 1449.0, 'Type': 1, 'Time': '2013/9/4'}","{'Vol': 1, 'Closepos': 1470.0, 'Type': -1, 'Time': '2013/9/4'}"
2013/9/5,1470.0,0.0,0.0,1849.0,0,0
2013/9/6,1480.0,1.0,49.0,1898.0,"{'Vol': 1, 'Openpos': 1431.0, 'Type': 1, 'Time': '2013/9/6'}","{'Vol': 1, 'Closepos': 1480.0, 'Type': -1, 'Time': '2013/9/6'}"
2013/9/9,1490.0,-1.0,-0.0,1898.0,"{'Vol': 1, 'Openpos': 1490.0, 'Type': -1, 'Time': '2013/9/9'}","{'Vol': 1, 'Closepos': 1490.0, 'Type': 1, 'Time': '2013/9/9'}"
2013/9/10,1455.0,1.0,-1.0,1897.0,"{'Vol': 1, 'Openpos': 1456.0, 'Type': 1, 'Time': '2013/9/10'}","{'Vol': 1, 'Closepos': 1455.0, 'Type': -1, 'Time': '2013/9/10'}"
2013/9/11,1450.0,-1.0,30.0,1927.0,"{'Vol': 1, 'Openpos': 1480.0, 'Type': -1, 'Time': '2013/9/11'}","{'Vol': 1, 'Closepos': 1450.0, 'Type': 1, 'Time': '2013/9/11'}"
2013/9/12,1400.0,1.0,0.0,1927.0,"{'Vol': 1, 'Openpos': 1400.0, 'Type': 1, 'Time': '2013/9/12'}","{'Vol': 1, 'Closepos': 1400.0, 'Type': -1, 'Time': '2013/9/12'}"
2013/9/13,1400.0,0.0,0.0,1927.0,0,0
2013/9/16,1455.0,-1.0,-1.0,1926.0,"{'Vol': 1, 'Openpos': 1454.0, 'Type': -1, 'Time': '2013/9/16'}","{'Vol': 1, 'Closepos': 1455.0, 'Type': 1, 'Time': '2013/9/16'}"
2013/9/17,1444.0,0.0,0.0,1926.0,0,0
2013/9/18,1470.0,0.0,0.0,1926.0,0,0
